     1          ?        2:1      +   0     *1    
     2          ?        1:0      +  *0.9    0.1  
     3          ?        2:1      +   0.3   *0.7  
     4          ?        1:0      +  *1      0    
     5          ?        1:0      +  *1      0    
     6          ?        2:1      +   0.1   *0.9  
     7          ?        1:0      +  *1      0    
     8          ?        1:0      +  *1      0    
     9          ?        1:0      +  *0.5    0.5  
    10          ?        1:0      +  *1      0    
    11          ?        1:0      +  *0.5    0.5  
    12          ?        1:0      +  *1      0    
    13          ?        2:1      +   0.2   *0.8  
    14          ?        2:1      +   0     *1    
    15          ?        2:1      +   0.2   *0.8  
    16          ?        2:1      +   0     *1    
    17          ?        2:1      +   0.1   *0.9  
    18          ?        1:0      +  *0.5    0.5  
    19          ?        1:0      +  *1      0    
    20          ?        2:1      +   0.1   *0.9  
    21          ?        2:1      +   0.1   *0.9  
    22          ?        1:0      +  *1      0    
    23          ?        2:1      +   0.3   *0.7  
    24          ?        2:1      +   0.4   *0.6  
    25          ?        1:0      +  *1      0    
    26          ?        2:1      +   0.1   *0.9  
    27          ?        2:1      +   0.1   *0.9  
    28          ?        2:1      +   0.1   *0.9  
    29          ?        1:0      +  *1      0    
    30          ?        1:0      +  *0.7    0.3  
    31          ?        2:1      +   0     *1    
    32          ?        2:1      +   0.3   *0.7  
    33          ?        2:1      +   0.2   *0.8  
    34          ?        2:1      +   0     *1    
    35          ?        2:1      +   0.1   *0.9  
    36          ?        1:0      +  *1      0    
    37          ?        2:1      +   0.1   *0.9  
    38          ?        2:1      +   0     *1    
    39          ?        2:1      +   0.1   *0.9  
    40          ?        2:1      +   0.2   *0.8  
    41          ?        1:0      +  *1      0    
    42          ?        1:0      +  *1      0    
    43          ?        2:1      +   0     *1    
    44          ?        2:1      +   0.4   *0.6  
    45          ?        2:1      +   0     *1    
    46          ?        1:0      +  *1      0    
    47          ?        2:1      +   0     *1    
    48          ?        1:0      +  *1      0    
    49          ?        1:0      +  *1      0    
    50          ?        2:1      +   0     *1    
    51          ?        2:1      +   0     *1    
    52          ?        2:1      +   0     *1    
    53          ?        2:1      +   0     *1    
    54          ?        1:0      +  *1      0    
    55          ?        2:1      +   0.3   *0.7  
    56          ?        1:0      +  *1      0    
    57          ?        2:1      +   0     *1    
    58          ?        2:1      +   0.4   *0.6  
    59          ?        1:0      +  *1      0    
    60          ?        2:1      +   0     *1    
    61          ?        1:0      +  *1      0    
    62          ?        1:0      +  *1      0    
    63          ?        2:1      +   0.1   *0.9  
    64          ?        1:0      +  *1      0    
    65          ?        2:1      +   0.1   *0.9  
    66          ?        1:0      +  *1      0    
    67          ?        1:0      +  *1      0    
    68          ?        1:0      +  *1      0    
    69          ?        1:0      +  *1      0    
    70          ?        1:0      +  *1      0    
    71          ?        2:1      +   0.1   *0.9  
    72          ?        2:1      +   0     *1    
    73          ?        2:1      +   0.2   *0.8  
    74          ?        1:0      +  *1      0    
    75          ?        2:1      +   0     *1    
    76          ?        1:0      +  *1      0    
    77          ?        2:1      +   0     *1    
    78          ?        2:1      +   0     *1    
    79          ?        2:1      +   0.1   *0.9  
    80          ?        2:1      +   0.1   *0.9  
    81          ?        1:0      +  *1      0    
    82          ?        2:1      +   0.1   *0.9  
    83          ?        2:1      +   0.1   *0.9  
    84          ?        1:0      +  *1      0    
    85          ?        1:0      +  *1      0    
    86          ?        2:1      +   0.2   *0.8  
    87          ?        1:0      +  *1      0    
    88          ?        2:1      +   0.1   *0.9  
    89          ?        2:1      +   0     *1    
    90          ?        2:1      +   0     *1    
    91          ?        2:1      +   0     *1    
    92          ?        2:1      +   0     *1    
    93          ?        1:0      +  *1      0    
    94          ?        2:1      +   0.2   *0.8  
    95          ?        2:1      +   0.1   *0.9  
    96          ?        1:0      +  *1      0    
    97          ?        2:1      +   0.4   *0.6  
    98          ?        2:1      +   0.1   *0.9  
    99          ?        1:0      +  *1      0    
   100          ?        2:1      +   0.1   *0.9  
   101          ?        1:0      +  *1      0    
   102          ?        1:0      +  *0.9    0.1  
   103          ?        1:0      +  *1      0    
   104          ?        2:1      +   0.4   *0.6  
   105          ?        1:0      +  *1      0    
   106          ?        2:1      +   0     *1    
   107          ?        2:1      +   0.2   *0.8  
   108          ?        1:0      +  *1      0    
   109          ?        1:0      +  *1      0    
   110          ?        2:1      +   0     *1    
   111          ?        2:1      +   0.1   *0.9  
   112          ?        2:1      +   0.2   *0.8  
   113          ?        2:1      +   0.1   *0.9  
   114          ?        2:1      +   0.4   *0.6  
   115          ?        1:0      +  *1      0    
   116          ?        2:1      +   0.1   *0.9  
   117          ?        1:0      +  *1      0    
   118          ?        2:1      +   0.1   *0.9  
   119          ?        1:0      +  *1      0    
   120          ?        1:0      +  *1      0    
   121          ?        2:1      +   0     *1    
   122          ?        2:1      +   0     *1    
   123          ?        1:0      +  *1      0    
   124          ?        1:0      +  *1      0    
   125          ?        1:0      +  *1      0    
   126          ?        1:0      +  *1      0    
   127          ?        1:0      +  *1      0    
   128          ?        1:0      +  *1      0    
   129          ?        2:1      +   0.1   *0.9  
   130          ?        2:1      +   0.2   *0.8  
   131          ?        1:0      +  *1      0    
   132          ?        2:1      +   0.2   *0.8  
   133          ?        2:1      +   0.3   *0.7  
   134          ?        1:0      +  *1      0    
   135          ?        2:1      +   0.1   *0.9  
   136          ?        1:0      +  *0.6    0.4  
   137          ?        1:0      +  *0.7    0.3  
   138          ?        1:0      +  *0.5    0.5  
   139          ?        1:0      +  *1      0    
   140          ?        2:1      +   0     *1    
   141          ?        1:0      +  *1      0    
   142          ?        2:1      +   0     *1    
   143          ?        2:1      +   0     *1    
   144          ?        1:0      +  *1      0    
   145          ?        1:0      +  *1      0    
   146          ?        2:1      +   0     *1    
   147          ?        2:1      +   0.1   *0.9  
   148          ?        2:1      +   0.1   *0.9  
   149          ?        1:0      +  *1      0    
   150          ?        2:1      +   0     *1    
   151          ?        2:1      +   0.2   *0.8  
   152          ?        2:1      +   0.1   *0.9  
   153          ?        1:0      +  *1      0    
   154          ?        2:1      +   0.2   *0.8  
   155          ?        1:0      +  *1      0    
   156          ?        2:1      +   0     *1    
   157          ?        1:0      +  *1      0    
   158          ?        2:1      +   0     *1    
   159          ?        2:1      +   0     *1    
   160          ?        2:1      +   0     *1    
   161          ?        2:1      +   0.2   *0.8  
   162          ?        2:1      +   0.3   *0.7  
   163          ?        2:1      +   0.2   *0.8  
   164          ?        2:1      +   0.3   *0.7  
   165          ?        2:1      +   0     *1    
   166          ?        2:1      +   0.4   *0.6  
   167          ?        2:1      +   0     *1    
   168          ?        1:0      +  *1      0    
   169          ?        2:1      +   0.1   *0.9  
   170          ?        1:0      +  *1      0    
   171          ?        2:1      +   0.4   *0.6  
   172          ?        1:0      +  *1      0    
   173          ?        1:0      +  *1      0    
   174          ?        2:1      +   0.2   *0.8  
   175          ?        2:1      +   0.1   *0.9  
   176          ?        1:0      +  *1      0    
   177          ?        2:1      +   0.3   *0.7  
   178          ?        2:1      +   0     *1    
   179          ?        1:0      +  *1      0    
   180          ?        1:0      +  *1      0    
   181          ?        1:0      +  *1      0    
   182          ?        1:0      +  *1      0    
   183          ?        1:0      +  *1      0    
   184          ?        2:1      +   0.1   *0.9  
   185          ?        2:1      +   0.3   *0.7  
   186          ?        1:0      +  *1      0    
   187          ?        2:1      +   0.4   *0.6  
   188          ?        1:0      +  *1      0    
   189          ?        2:1      +   0.1   *0.9  
   190          ?        1:0      +  *0.6    0.4  
   191          ?        1:0      +  *1      0    
   192          ?        1:0      +  *1      0    
   193          ?        2:1      +   0.1   *0.9  
   194          ?        2:1      +   0     *1    
   195          ?        2:1      +   0.1   *0.9  
   196          ?        2:1      +   0     *1    
   197          ?        2:1      +   0.3   *0.7  
   198          ?        2:1      +   0.1   *0.9  
   199          ?        2:1      +   0.4   *0.6  
   200          ?        1:0      +  *1      0    
