id , author1 , author2
1 , 185c2cab2a927dba4a7730fad05b1f09 , f00211226dacd06a7c63c57731c0548e
2 , 9bc8c0191be4ce0426e104b799df56aa , e73394cddb1684dab524fbae09cdb7d9
3 , 3eeecaf38209116d0e77b5480f75bc28 , 4584da6558d19d1684bc53ae16da40ba
4 , 3580209d879ba0a34f5bb3d2d8ad6ab0 , 91c41f78e6db7d8aa05dec26e76a05ca
5 , 36aae9cfbdbfaef4fddddd86389848a8 , b40329dab2621e7a6e9de9cabeff8505
6 , 05ed528af47096baeb1ca06aaeb2cf26 , 9a259b04a52e930127e0f40859ef4fd2
7 , 1437b0bde018eca73ea737522050c3d4 , 7a7a11acc7ebda0c8777a77fd856f188
8 , 230b70c58d32c2fe69251188b02de595 , b1a00617e5b7e8ed4367893a25348e19
9 , 36e6549763f920bac663bbc7bbd30055 , 383dd311274dd8e14e397d333c79e149
10 , 0590060b2cfa084ce15037a7a4483153 , c7f5605d8b92e5b52c1a1945d891e2b8
11 , 36f69d06508e7e70ed7f2dd85790053a , 7237328de18bb6afd01c18085b7ea857
12 , 364fe8cf9c94a02a9a88128fd82b22f8 , f42115a7380a4ab7c2364887448ae8b1
13 , 200db0cc02c36ae1272d9e03ea0769b6 , 40f43bba2b3eb63fc3f95d37a3ce9ac2
14 , 3c46ac694ba4a3a486d908a81997520f , bb505fcd074da5396b594d2e3f2573ed
15 , 67ebfd95142b74d371782ea1d62e7ced , ac534af89c8e5680369951eb2228efc1
16 , 49b4af1006aba3e8ee01d343c44d4c78 , c72bb886d5a8882bc13af78256201e2b
17 , e150218e67f1ffbbcdc4638b0aeeaaf7 , ffe909c89a7bf6016bee61b4e8f050b7
18 , 827d25e751742850d460b802345ae0aa , 9968259d840ab6db0c30c4c18357d105
19 , 1db7553b5c2e2fe552a748590a64b0cb , 3a15e94d491090eb643193ad47f9ecbf
20 , 31ace9a277f5666068217e4fd5e58a61 , 4bdc37cf7526d6f20352a9942f899e64
21 , 6e6390b2d89809ab4f6b02457bba3c29 , 7f33ab9755a07c97b27d5a8bf66dd893
22 , 8e72699bb27af618a64c37dfc7621348 , c42eac5dcea14de99193c9a861f7b3d8
23 , 03720e8883313ffde1b52ce2c48f7642 , cebb4975447d73eb0774e4ea2f3932c8
24 , 26e6a05c41d349dee02fd578b597dd6c , c38866a66700dcad7c19819091e57f88
25 , 031e471e976854f31233519d0b09b596 , 4aee05a82a2fe25b020d8c813ca49838
26 , 362f46f48c2144cbce3551ac67b33ab9 , 9692b5728abd545c99ac35d7c5ba6998
27 , 1df1dd6ff128866d1967963777af03a2 , eeba4f2e3fe6ce39728b1f6e4c902681
28 , 36bf6d7409bdbf715018ce77e20b3d5a , ccd8aedbfbf84b1b7a2565669d7fa189
29 , 2e867758dcd5c320963ebcf537bf0151 , e6db02a8511859c26fb76d82c8df4027
30 , 7f702612153bc663fd9fa9a28ffb3cb3 , e1ea08bfc4d00ad2bd04bf91733dfec4
31 , 1c97bb33a84d3564d44d3584528b0a16 , b243c088c7acafbaa86381cd956bffa8
32 , 39e9127f746c3d17e7bebb70adfe0929 , e532d545b85631f270f9bce1e8d08402
33 , 6799f0320edc8f4dac96d18c030afd0b , da3d05aca652b748a38e934afb864bb4
34 , 04101dfcaba5a487e23ef82f85fb3024 , 937363508988e4eb156441101ae2b5ae
35 , 122d32b36b2fdf0b65bc5c3d09c5dacd , a46d56580e4551be8f90e855e499ab96
36 , 534e70ff0d105ad41edcd7e9f9a6861f , 55038c38ea32ebf15313b7ca7588b085
37 , 2e0f9a54c311f9293c0fccc19a1ba5ff , 612f81da7cc7592b767bb26ed075ab2d
38 , 13d41b5228d0db054b999d1449c24366 , 2fa626e6f7c4c064ebfceac133f43d10
39 , 9fe57ae6a337098b0b055f665d85a28e , d3d732980dd29b7f9cebdd57a8acb6d1
40 , 07de1e1fa77e2b938c143584222849a1 , 34d241590cab54f292ee89b9b56038a0
41 , 8934ccf525d4b210b45bc40ec7509675 , e131bb3ba13da29e94546dc793207583
42 , 012b49e04bb612000ce6d33e6aed2715 , b071f3758d05249f48c514644651cebf
43 , 35a3d026057c2e78f27d33a9a500e4b2 , 523c9b90450e43d7815d32f4463d8119
44 , a380d204a21ee855ed621ad220e17b83 , ce6799be1b9771ff4a0aaca2a0cc623d
45 , 888623c0cbbf04c575b52a4d7c2a17ba , 899310d44f6e0d4f6e780170a09dd72a
46 , 2326a5ae05d6c13b8317e6ec7d83e5eb , 92f43c32fa3fdcfd5fa0785b6035519a
47 , 168dc7beb4fc532b0db6ed4a2aeb668e , a89dcfa8fe21e055a6f52e020b8e6a26
48 , 5c0838f015ba3a48eb03c6e061416964 , 8538e64b9132daba2679df44ea61ab9e
49 , 336600c3b79b505fd6d02b108325ad69 , 6672ee054df02cc48b3cbcbca8d24e03
50 , 2c8f3150b76e44e5f50450f36c706a68 , b5edec2eba9c4b35ebeb3d65a4720439
51 , 23fb841bf9a53f07437e7d4373ad2633 , dbdf643a72168712803b6bd2f495a084
52 , 4a559bc2cff93347526fdd31b6d90bfb , d14769fe08de66060388951768e362e8
53 , 0f1247b2a7bcef5ffe1902f64b7b4d3b , 1d27e2c97df8546013a115ecf059db63
54 , 1b40371fb1b9731570c1d1e45fd0d92b , c0c9219c630941827b32a1291331e394
55 , 6f615f25ed6c21716febf0e14ee870a9 , fbb4edfe5808ba0e46de9dffbaa06e43
56 , 7086d42bad342a4a2bbb55cad5673fc3 , f30951f3fc92f285cbe8ed724d238fb8
57 , 59d0664fce1d43bee92f5925a8eae77e , 697272c3a5affda8c0934757e0e2f4e2
